counter,date,day,time,hours,minutes,seconds,milis
1,30-10-2020,Friday,0.11,0,50,14,3014950
2,30-10-2020,Friday,0.11,0,0,20,20019
3,30-10-2020,Friday,0.18,0,6,18,378038
4,30-10-2020,Friday,0.18,0,0,27,27424
5,30-10-2020,Friday,0.19,0,0,8,8001
6,30-10-2020,Friday,0.26,0,7,15,435343
7,30-10-2020,Friday,0.26,0,0,8,8752
8,30-10-2020,Friday,0.26,0,0,7,7120
9,30-10-2020,Friday,0.27,0,0,46,46631
10,30-10-2020,Friday,0.27,0,0,4,4316
11,30-10-2020,Friday,8.39,8,11,18,29478194
